name,tipo,latitude,longitude,cep
Silvio Romero Plaza,mall,-23.5472892,-46.5727729,Sem CEP
Auto Shopping Cidade Morumbi,car,-23.6290122,-46.7172027,Sem CEP
Banco do Brasil,bank,-1.0555154,-46.7651224,Sem CEP
State Bank of Para,bank,-1.0549849,-46.7653066,Sem CEP
Banco da Amazônia,bank,-1.0567423,-46.7649376,Sem CEP
Caixa Econômica Federal,bank,-1.0578365,-46.7635794,Sem CEP
Bradesco,bank,-20.6705498,-40.4965430,Sem CEP
Sem nome,supermarket,-1.0252830,-46.6402128,Sem CEP
Mercado Gregolin,grocery,-25.4386710,-49.2376715,Sem CEP
Lavanderia Lav-Lev,laundry,-25.4390547,-49.2376543,Sem CEP
Panificadora Senhores do Pão,bakery,-25.4378348,-49.2375050,Sem CEP
Sem nome,computer,-20.6697205,-40.4976293,Sem CEP
Caixa Econômica Federal,bank,-19.9703690,-43.9652465,Sem CEP
Sem nome,bakery,-20.3638365,-40.6592535,Sem CEP
Big Conrado,supermarket,-20.7726549,-41.6780884,29560-000
Supermercados B. C.,supermarket,-20.7598892,-41.5353796,29500-000
Sem nome,bakery,-20.7939365,-40.8108641,Sem CEP
Banestes,bank,-20.7715933,-41.6754713,29560-000
Super Box,supermarket,-19.9322329,-44.0831994,Sem CEP
Tradição,supermarket,-19.9315420,-44.0836179,Sem CEP
Fátima,bakery,-19.9318143,-44.0833657,Sem CEP
Caixa Econômica Federal,bank,-19.8680065,-43.9645139,Sem CEP
Banco do Brasil,bank,-19.8681377,-43.9647232,Sem CEP
Santander,bank,-19.8680116,-43.9652810,Sem CEP
Sem nome,books,-19.8682260,-43.9650960,Sem CEP
Adega Pampulha,beverages,-19.8611288,-43.9654244,Sem CEP
Santander,bank,-19.8622455,-43.9691007,Sem CEP
Sem nome,bakery,-19.8588765,-43.9646317,Sem CEP
Caixa Econômica Federal,bank,-19.9131487,-44.0844869,Sem CEP
Martinica Artesanatos,craft,-22.9587631,-43.0294163,24346-00
Bradesco,bank,-19.9295826,-43.9742104,Sem CEP
Itaú,bank,-19.9297769,-43.9748436,Sem CEP
Santíssimo Pão,bakery,-19.9389905,-43.9196491,Sem CEP
Banco Santander,bank,-19.9434662,-44.0398763,Sem CEP
Santíssimo Pão,bakery,-19.9405790,-43.9319363,Sem CEP
Banco do Brasil,bank,-19.9719469,-43.9662712,Sem CEP
Itaú,bank,-19.9653322,-43.9546036,Sem CEP
Banco do Brasil,bank,-19.9648481,-43.9545661,Sem CEP
Panificadora Vila Nova,bakery,-23.1462875,-50.5260355,Sem CEP
Super Box,supermarket,-19.9317715,-44.0861016,Sem CEP
Venda do Zeca,convenience,-19.3446238,-43.6448547,Sem CEP
Shell,convenience,-19.8632841,-43.9575219,Sem CEP
Padaria Cipó,bakery,-19.3352584,-43.6250226,Sem CEP
Depósito Ceci,doityourself,-19.3355214,-43.6263843,Sem CEP
Supermercado Super Serra,supermarket,-19.3356251,-43.6265876,Sem CEP
Unicasas Serra do Cipó,doityourself,-19.3359825,-43.6278171,Sem CEP
Padaria Forno Real,bakery,-19.3360863,-43.6287037,Sem CEP
Supermercado Reis,supermarket,-19.3364099,-43.6293335,Sem CEP
Lazinho Artes,furniture,-19.3363975,-43.6296525,Sem CEP
Casa do Ciclistas,bicycle,-19.3364352,-43.6299883,Sem CEP
Casa do Construtor,doityourself,-19.3363321,-43.6309807,Sem CEP
Pão de Açúcar,supermarket,-22.9400778,-43.0561159,Sem CEP
Itaú,bank,-19.9392375,-43.9351148,Sem CEP
Banco Santander,bank,-19.9378861,-43.9345836,Sem CEP
Sem nome,kiosk,-19.9209990,-43.9447921,Sem CEP
Sem nome,kiosk,-19.9193650,-43.9387249,Sem CEP
Banco do Brasil,bank,-19.9209738,-43.9392882,Sem CEP
D'oro Bijou,clothes,-22.9296029,-43.1776441,Sem CEP
Sorvetes Itália,ice_cream,-22.9295962,-43.1775933,Sem CEP
Sem nome,mall,-22.9296303,-43.1776820,Sem CEP
Ótica Catete,optician,-22.9295762,-43.1775792,Sem CEP
Casas Bahia,electronics,-22.9294940,-43.1773279,22220-001
Sonho dos Pés,shoes,-22.9293000,-43.1772780,22220-000
Casas Chamma,fabric,-22.9291412,-43.1772113,Sem CEP
Miniso,variety_store,-22.9294917,-43.1775761,Sem CEP
Dora,general,-22.9294438,-43.1775580,Sem CEP
Banco do Brasil,bank,-22.9292266,-43.1774755,Sem CEP
Casa Realce,clothes,-22.9302259,-43.1782176,Sem CEP
Papelaria Jardim Largo do Machado,stationery,-22.9302650,-43.1783570,Sem CEP
Pet fun,pet,-22.9299636,-43.1778078,Sem CEP
Citycol,clothes,-22.9299245,-43.1777578,Sem CEP
Vitória Decorações,furniture,-22.9300821,-43.1769839,Sem CEP
Eletrônica Vitória,electronics,-22.9300663,-43.1770697,Sem CEP
Casa & Cia.,toys,-22.9297644,-43.1770537,Sem CEP
Thalita's Hair Design,hairdresser,-22.9297637,-43.1769881,Sem CEP
Promoinfo Mix Centro,mall;computer,-22.9070387,-43.1771830,Sem CEP
Carminha Coiffeur,hairdresser,-22.9022098,-43.1105911,24220-031
Lav Fácil,laundry,-22.9021810,-43.1105531,24220-031
Faça Festa,yes,-22.9029989,-43.1097775,Sem CEP
Ninim,car_repair,-23.5816153,-46.5796120,Sem CEP
Sem nome,mall,-22.9045773,-43.1790400,Sem CEP
Banco do Brasil,bank,-22.9047671,-43.1789627,Sem CEP
Sem nome,kiosk,-22.9032563,-43.1798878,Sem CEP
Sem nome,florist,-22.9035677,-43.1798682,Sem CEP
Kalunga,stationery,-22.9048868,-43.1810970,Sem CEP
Sem nome,newsagent,-22.9235879,-43.1769460,Sem CEP
Sem nome,newsagent,-22.9239185,-43.1771574,Sem CEP
Prêmio Livraria Papelaria,books,-22.9027275,-43.1113419,Sem CEP
Financiadora,money_lender,-22.9038288,-43.1116546,Sem CEP
Sem nome,lottery,-22.9026442,-43.1114418,Sem CEP
TIM,mobile_phone,-22.9024468,-43.1115608,Sem CEP
Mart Plus,supermarket,-19.9310604,-43.9230455,Sem CEP
Banco Santander,bank,-19.9298904,-43.9313462,Sem CEP
Sem nome,kiosk,-12.9963073,-38.4657943,Sem CEP
Sem nome,alcohol,-22.9240321,-43.1778721,22211-200
Honda,motorcycle,-22.9240688,-43.1779353,22211-200
Sofá-Cama 84,furniture,-22.9240687,-43.1773290,Sem CEP
Sem nome,furniture,-22.9241240,-43.1773033,Sem CEP
Sem nome,furniture,-22.9241715,-43.1772861,Sem CEP
Mobiliária Real,furniture,-22.9244402,-43.1771059,Sem CEP
