MUNICIPIO;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total
ALTA FLORESTA D'OESTE;1601.0;1592.0;1556.0;1623.0;3652.0;3568.0;3101.0;2901.0;1782.0;812.0;328.0;22516.0
ARIQUEMES;8396.0;8262.0;8317.0;9490.0;20100.0;18822.0;15160.0;11695.0;6809.0;2991.0;1106.0;111148.0
CABIXI;379.0;375.0;332.0;292.0;724.0;754.0;785.0;699.0;459.0;191.0;77.0;5067.0
CACOAL;5846.0;5939.0;6065.0;6412.0;14391.0;14626.0;12374.0;10077.0;6509.0;2939.0;1238.0;86416.0
CEREJEIRAS;1068.0;1097.0;1077.0;1094.0;2594.0;2648.0;2254.0;2129.0;1263.0;617.0;247.0;16088.0
COLORADO DO OESTE;1008.0;1016.0;987.0;959.0;2263.0;2464.0;2235.0;1959.0;1359.0;670.0;293.0;15213.0
CORUMBIARA;484.0;481.0;434.0;457.0;1212.0;1164.0;1117.0;854.0;490.0;255.0;104.0;7052.0
COSTA MARQUES;2027.0;1836.0;1606.0;1688.0;3647.0;2981.0;2489.0;1623.0;879.0;359.0;120.0;19255.0
ESPIGAO D'OESTE;2565.0;2526.0;2478.0;2523.0;5439.0;5358.0;4760.0;3609.0;2316.0;1045.0;390.0;33009.0
GUAJARA-MIRIM;4369.0;4226.0;4041.0;4147.0;8095.0;7075.0;6001.0;4561.0;2612.0;1266.0;537.0;46930.0
JARU;3811.0;3751.0;3670.0;4034.0;8536.0;8760.0;7306.0;5477.0;3584.0;1760.0;780.0;51469.0
JI-PARANA;9334.0;9420.0;9679.0;10290.0;21715.0;22145.0;18466.0;14824.0;9458.0;4066.0;1629.0;131026.0
MACHADINHO D'OESTE;3777.0;3659.0;3374.0;3374.0;7066.0;6613.0;5789.0;4085.0;2544.0;1096.0;347.0;41724.0
NOVA BRASILANDIA D'OESTE;1453.0;1413.0;1343.0;1473.0;3463.0;3218.0;3192.0;2433.0;1543.0;717.0;256.0;20504.0
OURO PRETO DO OESTE;2454.0;2459.0;2446.0;2606.0;5659.0;5859.0;4970.0;4306.0;2742.0;1362.0;582.0;35445.0
PIMENTA BUENO;2659.0;2699.0;2799.0;3017.0;6380.0;6406.0;5163.0;4013.0;2487.0;1074.0;401.0;37098.0
PORTO VELHO;40997.0;40298.0;41794.0;46354.0;100011.0;101217.0;77119.0;54491.0;31271.0;11501.0;3899.0;548952.0
PRESIDENTE MEDICI;1182.0;1197.0;1161.0;1199.0;2682.0;2855.0;2700.0;2404.0;1632.0;799.0;354.0;18165.0
RIO CRESPO;310.0;297.0;263.0;278.0;590.0;559.0;585.0;491.0;287.0;128.0;55.0;3843.0
ROLIM DE MOURA;3906.0;3903.0;3922.0;4366.0;9544.0;9676.0;7949.0;6275.0;3812.0;1693.0;702.0;55748.0
SANTA LUZIA D'OESTE;382.0;392.0;381.0;364.0;880.0;954.0;877.0;854.0;516.0;237.0;105.0;5942.0
VILHENA;7970.0;7868.0;7954.0;8580.0;18356.0;18122.0;14605.0;10878.0;6484.0;2719.0;981.0;104517.0
SAO MIGUEL DO GUAPORE;1892.0;1800.0;1665.0;1808.0;4129.0;3731.0;3249.0;2458.0;1504.0;677.0;234.0;23147.0
NOVA MAMORE;3136.0;2966.0;2670.0;2766.0;5432.0;4958.0;4529.0;3012.0;1710.0;746.0;259.0;32184.0
ALVORADA D'OESTE;1003.0;980.0;937.0;973.0;2160.0;2082.0;2030.0;1734.0;1180.0;514.0;214.0;13807.0
ALTO ALEGRE DOS PARECIS;1129.0;1047.0;963.0;1070.0;2269.0;1909.0;1930.0;1516.0;860.0;432.0;143.0;13268.0
ALTO PARAISO;1896.0;1832.0;1651.0;1760.0;3798.0;3366.0;3251.0;2445.0;1387.0;653.0;219.0;22258.0
BURITIS;3654.0;3429.0;3207.0;3479.0;7076.0;6456.0;5485.0;3810.0;2651.0;1370.0;426.0;41043.0
NOVO HORIZONTE DO OESTE;563.0;568.0;525.0;498.0;1201.0;1181.0;1263.0;1131.0;711.0;348.0;136.0;8125.0
CACAULANDIA;542.0;503.0;450.0;484.0;1008.0;931.0;855.0;702.0;479.0;256.0;97.0;6307.0
CAMPO NOVO DE RONDONIA;1347.0;1234.0;1077.0;1155.0;2405.0;2245.0;2110.0;1483.0;870.0;358.0;107.0;14391.0
CANDEIAS DO JAMARI;2763.0;2479.0;2210.0;2335.0;4903.0;4488.0;3810.0;2613.0;1530.0;718.0;219.0;28068.0
CASTANHEIRAS;192.0;186.0;166.0;185.0;474.0;427.0;453.0;421.0;245.0;131.0;43.0;2923.0
CHUPINGUAIA;1111.0;1034.0;952.0;1006.0;2237.0;1890.0;1665.0;1079.0;502.0;218.0;61.0;11755.0
CUJUBIM;2785.0;2523.0;2293.0;2547.0;5001.0;4377.0;3604.0;2345.0;1141.0;412.0;103.0;27131.0
GOVERNADOR JORGE TEIXEIRA;543.0;507.0;449.0;506.0;1127.0;1095.0;1064.0;877.0;558.0;294.0;110.0;7130.0
ITAPUA DO OESTE;1044.0;992.0;859.0;798.0;1931.0;1594.0;1451.0;1070.0;685.0;300.0;95.0;10819.0
MINISTRO ANDREAZZA;763.0;762.0;714.0;704.0;1543.0;1467.0;1296.0;1071.0;666.0;336.0;139.0;9461.0
MIRANTE DA SERRA;802.0;767.0;698.0;828.0;1773.0;1605.0;1508.0;1152.0;886.0;450.0;222.0;10691.0
MONTE NEGRO;1362.0;1294.0;1156.0;1285.0;2744.0;2374.0;2270.0;1734.0;1144.0;579.0;216.0;16158.0
NOVA UNIAO;509.0;508.0;491.0;498.0;1153.0;991.0;1039.0;819.0;503.0;227.0;84.0;6822.0
PARECIS;545.0;528.0;496.0;489.0;1052.0;1084.0;818.0;711.0;373.0;169.0;54.0;6319.0
PIMENTEIRAS DO OESTE;212.0;184.0;154.0;154.0;337.0;317.0;307.0;245.0;146.0;55.0;16.0;2127.0
PRIMAVERA DE RONDONIA;182.0;181.0;156.0;178.0;443.0;384.0;398.0;373.0;230.0;121.0;51.0;2697.0
SAO FELIPE D'OESTE;327.0;321.0;288.0;299.0;739.0;742.0;762.0;651.0;468.0;263.0;102.0;4962.0
SAO FRANCISCO DO GUAPORE;1892.0;1755.0;1613.0;1714.0;3733.0;3149.0;2861.0;2080.0;1295.0;758.0;238.0;21088.0
SERINGUEIRAS;915.0;862.0;789.0;947.0;2053.0;1809.0;1710.0;1345.0;839.0;411.0;166.0;11846.0
TEIXEIROPOLIS;273.0;279.0;266.0;271.0;633.0;631.0;595.0;576.0;327.0;212.0;97.0;4160.0
THEOBROMA;821.0;790.0;698.0;707.0;1591.0;1529.0;1601.0;1165.0;810.0;462.0;174.0;10348.0
URUPA;802.0;768.0;729.0;766.0;1681.0;1807.0;1618.0;1325.0;954.0;469.0;162.0;11081.0
VALE DO ANARI;987.0;898.0;775.0;827.0;1844.0;1742.0;1708.0;1321.0;861.0;431.0;151.0;11545.0
VALE DO PARAISO;456.0;452.0;417.0;433.0;1038.0;952.0;990.0;869.0;530.0;257.0;96.0;6490.0
ACRELANDIA;1441.0;1426.0;1328.0;1388.0;2996.0;2306.0;2014.0;1411.0;808.0;444.0;159.0;15721.0
ASSIS BRASIL;856.0;822.0;804.0;757.0;1314.0;1065.0;890.0;563.0;339.0;164.0;75.0;7649.0
BRASILEIA;2272.0;2353.0;2436.0;2564.0;4955.0;4221.0;3464.0;2368.0;1378.0;761.0;351.0;27123.0
BUJARI;972.0;958.0;906.0;961.0;1930.0;1482.0;1358.0;916.0;661.0;323.0;105.0;10572.0
CAPIXABA;1199.0;1154.0;1035.0;1167.0;2429.0;1550.0;1418.0;1142.0;690.0;367.0;129.0;12280.0
CRUZEIRO DO SUL;8752.0;8877.0;9119.0;9399.0;16480.0;13703.0;10385.0;6068.0;3750.0;2169.0;1058.0;89760.0
EPITACIOLANDIA;1588.0;1645.0;1731.0;1851.0;3507.0;2815.0;2336.0;1710.0;999.0;543.0;254.0;18979.0
FEIJO;4137.0;4153.0;4028.0;3925.0;6319.0;4521.0;3344.0;2293.0;1247.0;721.0;298.0;34986.0
JORDAO;1435.0;1240.0;1094.0;1044.0;1615.0;1053.0;661.0;274.0;132.0;51.0;29.0;8628.0
MANCIO LIMA;2205.0;2169.0;2030.0;1917.0;3514.0;2885.0;2108.0;1275.0;836.0;485.0;219.0;19643.0
MANOEL URBANO;1125.0;1075.0;1001.0;986.0;1766.0;1421.0;1079.0;613.0;360.0;179.0;96.0;9701.0
MARECHAL THAUMATURGO;2895.0;2705.0;2498.0;2428.0;3729.0;2378.0;1535.0;828.0;424.0;216.0;91.0;19727.0
PLACIDO DE CASTRO;1833.0;1901.0;1847.0;1846.0;3405.0;2747.0;2429.0;2007.0;1234.0;624.0;274.0;20147.0
PORTO WALTER;1997.0;1857.0;1569.0;1398.0;2196.0;1493.0;1022.0;537.0;252.0;121.0;55.0;12497.0
RIO BRANCO;31183.0;33226.0;37940.0;42074.0;78364.0;68687.0;54954.0;36174.0;21933.0;10385.0;4532.0;419452.0
RODRIGUES ALVES;2560.0;2367.0;2136.0;2246.0;3695.0;2620.0;2066.0;1110.0;552.0;304.0;111.0;19767.0
SANTA ROSA DO PURUS;1119.0;898.0;777.0;830.0;1324.0;909.0;511.0;349.0;120.0;45.0;11.0;6893.0
SENADOR GUIOMARD;2056.0;2093.0;2100.0;2219.0;4070.0;3427.0;2976.0;2048.0;1414.0;718.0;325.0;23446.0
SENA MADUREIRA;4508.0;4455.0;4574.0;4913.0;8902.0;7622.0;5491.0;3220.0;1915.0;1070.0;498.0;47168.0
TARAUACA;5573.0;5425.0;5230.0;4892.0;7827.0;5576.0;3907.0;2563.0;1456.0;864.0;417.0;43730.0
XAPURI;1778.0;1797.0;1781.0;1903.0;3728.0;2968.0;2365.0;1676.0;1028.0;578.0;264.0;19866.0
PORTO ACRE;1730.0;1747.0;1654.0;1792.0;3506.0;2596.0;2281.0;1723.0;1101.0;709.0;302.0;19141.0
