MUNICIPIO,sigla_uf,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total,longitude,latitude
ALTA FLORESTA D'OESTE,RO,1601.0,1592.0,1556.0,1623.0,3652.0,3568.0,3101.0,2901.0,1782.0,812.0,328.0,22516.0,-62.274486209859,-12.4697063776483
ARIQUEMES,RO,8396.0,8262.0,8317.0,9490.0,20100.0,18822.0,15160.0,11695.0,6809.0,2991.0,1106.0,111148.0,-62.9572500386403,-9.95200191172898
CABIXI,RO,379.0,375.0,332.0,292.0,724.0,754.0,785.0,699.0,459.0,191.0,77.0,5067.0,-60.639797858914,-13.4748946237262
CACOAL,RO,5846.0,5939.0,6065.0,6412.0,14391.0,14626.0,12374.0,10077.0,6509.0,2939.0,1238.0,86416.0,-61.32465312465,-11.3012180220029
CEREJEIRAS,RO,1068.0,1097.0,1077.0,1094.0,2594.0,2648.0,2254.0,2129.0,1263.0,617.0,247.0,16088.0,-61.2609481062464,-13.2036606618277
COLORADO DO OESTE,RO,1008.0,1016.0,987.0,959.0,2263.0,2464.0,2235.0,1959.0,1359.0,670.0,293.0,15213.0,-60.5502461206796,-13.1590899778977
CORUMBIARA,RO,484.0,481.0,434.0,457.0,1212.0,1164.0,1117.0,854.0,490.0,255.0,104.0,7052.0,-61.0916568055514,-12.9267031986804
COSTA MARQUES,RO,2027.0,1836.0,1606.0,1688.0,3647.0,2981.0,2489.0,1623.0,879.0,359.0,120.0,19255.0,-64.0586026986492,-12.1470859394294
ESPIGAO D'OESTE,RO,2565.0,2526.0,2478.0,2523.0,5439.0,5358.0,4760.0,3609.0,2316.0,1045.0,390.0,33009.0,-60.7847620737779,-11.3511422683692
GUAJARA-MIRIM,RO,4369.0,4226.0,4041.0,4147.0,8095.0,7075.0,6001.0,4561.0,2612.0,1266.0,537.0,46930.0,-64.537710733004,-11.3055098790143
JARU,RO,3811.0,3751.0,3670.0,4034.0,8536.0,8760.0,7306.0,5477.0,3584.0,1760.0,780.0,51469.0,-62.5846289302498,-10.5922624897705
JI-PARANA,RO,9334.0,9420.0,9679.0,10290.0,21715.0,22145.0,18466.0,14824.0,9458.0,4066.0,1629.0,131026.0,-61.7571804718937,-10.4618678835131
MACHADINHO D'OESTE,RO,3777.0,3659.0,3374.0,3374.0,7066.0,6613.0,5789.0,4085.0,2544.0,1096.0,347.0,41724.0,-62.0102481941873,-9.20393838734944
NOVA BRASILANDIA D'OESTE,RO,1453.0,1413.0,1343.0,1473.0,3463.0,3218.0,3192.0,2433.0,1543.0,717.0,256.0,20504.0,-62.2801985161755,-11.6431615019417
OURO PRETO DO OESTE,RO,2454.0,2459.0,2446.0,2606.0,5659.0,5859.0,4970.0,4306.0,2742.0,1362.0,582.0,35445.0,-62.1725232327903,-10.6104388071409
PIMENTA BUENO,RO,2659.0,2699.0,2799.0,3017.0,6380.0,6406.0,5163.0,4013.0,2487.0,1074.0,401.0,37098.0,-60.8305302367197,-11.894549257872
PORTO VELHO,RO,40997.0,40298.0,41794.0,46354.0,100011.0,101217.0,77119.0,54491.0,31271.0,11501.0,3899.0,548952.0,-64.3041357999869,-9.15394033687075
PRESIDENTE MEDICI,RO,1182.0,1197.0,1161.0,1199.0,2682.0,2855.0,2700.0,2404.0,1632.0,799.0,354.0,18165.0,-61.8779863440222,-11.1662597508561
PRESIDENTE MEDICI,MA,1182.0,1197.0,1161.0,1199.0,2682.0,2855.0,2700.0,2404.0,1632.0,799.0,354.0,18165.0,-45.7734464229468,-2.3190006638132
RIO CRESPO,RO,310.0,297.0,263.0,278.0,590.0,559.0,585.0,491.0,287.0,128.0,55.0,3843.0,-62.7900702016081,-9.64518849498086
ROLIM DE MOURA,RO,3906.0,3903.0,3922.0,4366.0,9544.0,9676.0,7949.0,6275.0,3812.0,1693.0,702.0,55748.0,-61.7715265132583,-11.7325675974781
