Unnamed: 0,nome_instituicao,nome_agencia,endereco,numero,complemento,bairro,cep,municipio,municipio_ibge,latitude,longitude
0,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,MANAUS                                                      ,"R.GUILHERME MOREIRA,315                 ",          ,"SUBLOJA,LOJA E 2.ANDAR                            ",CENTRO                        ,69005-300,MANAUS                                                      ,1302603.0,,
1,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PRESIDENTE VARGAS                                           ,"AV.PRES.VARGAS,248                      ",          ,1.E 2.ANDARES                                     ,CAMPINA                       ,66010-900,BELEM                                                       ,1501402.0,,
2,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SANTOS                                                      ,"R.QUINZE DE NOVEMBRO,195                ",          ,                                                  ,CENTRO                        ,11010-908,SANTOS                                                      ,3548500.0,,
3,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,CAMPOS GOYTACAZES                                           ,RUA QUARTA DA JORNADA                   ,11,PRACA DAS 04 JORNADAS                             ,CENTRO                        ,28010-510,CAMPOS DOS GOYTACAZES                                       ,3301009.0,,
4,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SALVADOR                                                    ,"SEXTA AVENIDA,600                       ",          ,SECRETARIA DA EDUCACAO-TERREO                     ,CAB                           ,41745-002,SALVADOR                                                    ,2927408.0,,
5,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,RECIFE                                                      ,"AV.RIO BRANCO,240                       ",          ,1.ANDAR                                           ,RECIFE ANTIGO                 ,50030-310,RECIFE                                                      ,2611606.0,,
6,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,SETOR PUBLICO CE                                            ,"AV.SANTOS DUMONT,2828                   ",          ,5.ANDAR                                           ,ALDEOTA                       ,60150-162,FORTALEZA                                                   ,2304400.0,,
7,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,PRACA TIRADENTES-PR                                         ,"PCA.TIRADENTES,410                      ",          ,1.ANDAR                                           ,CENTRO                        ,80020-100,CURITIBA                                                    ,4106902.0,,
8,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA PORTO ALEGRE                                        ,"R.URUGUAI,185                           ",          ,5.ANDAR                                           ,CENTRO                        ,90010-901,PORTO ALEGRE                                                ,4314902.0,,
9,BANCO DO BRASIL S.A.                                                                                                                                                                                    ,EMPRESA JOAO PESSOA                                         ,AVENIDA PRESIDENTE EPITACIO PESSOA      ,1580,EM FRENTE À RECEITA FEDERAL                       ,TORRE                         ,58040-900,JOAO PESSOA                                                 ,2507507.0,,
